Sample_ID,DWV_Cq,Reference_Cq,DWV_presence,Taxa,Family,Subfamily,Genus,Species,Sex,Apiary_ID,Julian_Day
Apiary_13_092320_P6,NA,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_13,267
Apiary_6_091020_P6,NA,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,254
Apiary_21_092020_P9,NA,22.31666667,0,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis dimidiata,F,Apiary_21,264
Apiary_25_092120_P1,NA,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,265
Apiary_25_091120_P6,NA,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_17_092220_P9,35.01,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_17,266
Apiary_20_091820_P11,35.03,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_8_100220_P1,35.04,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_12_091620_P5,35.04,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,260
Apiary_18_090820_P5,35.08,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,252
Apiary_19_092720_P12,35.1,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,271
Apiary_14_092320_P10,35.1,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_14,267
Apiary_2_091920_P8,35.1,none,0,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_17_092220_P3,35.11,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,266
Apiary_6_092020_P1,35.12,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_6,264
Apiary_18_092220_P4,35.12,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_18,266
Apiary_17_090820_P11,35.14,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,252
Apiary_27_090720_P11,35.14,none,0,wild bee,Apidae,NA,Xylocopa,Xylocopa virginica,F,Apiary_27,251
Apiary_5_091420_P2,35.16,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_8_091320_P9,35.17,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,257
Apiary_18_092220_P5,35.18,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_13_092320_P5,35.21,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_13,267
Apiary_18_090820_P4,35.21,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,252
Apiary_20_092720_P7,35.24,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,271
Apiary_11_091120_P12,35.27,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_1_091520_P3,35.28,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_1,259
Apiary_14_092320_P6,35.29,none,0,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_14,267
Apiary_13_092320_P3,35.305,25.16333333,0,syrphid,Syrphidae,Eristalinae,Rhingia,Rhingia nasica,M,Apiary_13,267
Apiary_6_091020_P7,35.32,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_6,254
Apiary_26_090720_P4,35.335,4.166666667,0,wild bee,Apidae,NA,Ceratina,Ceratina sp.,F,Apiary_26,251
Apiary_24_092320_P16,35.34,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_24,267
Apiary_8_100220_P20,35.345,24.78333333,0,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis sp.,F,Apiary_8,276
Apiary_27_092820_P4,35.38,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_18_092220_P12,35.41,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_8_092520_P2,35.42,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,269
Apiary_3_091520_P15,35.48,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_12_091620_P3,35.54,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,260
Apiary_25_091120_P8,35.54,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_12_091620_P10,35.68,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,260
Apiary_19_092720_P3,35.7,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,271
Apiary_12_092620_P1,35.76,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,270
Apiary_14_090920_P18,35.77,2.663333333,0,wild bee,Apidae,NA,Ceratina,Ceratina sp.,F,Apiary_14,253
Apiary_19_091820_P7,35.87,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,262
Apiary_25_092120_P2,35.92,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_25,265
Apiary_17_092220_P11,35.93,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_17,266
Apiary_27_092820_P10,35.95,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_22_091420_P8,35.96,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_22,258
Apiary_3_092420_P2,36.02,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,268
Apiary_20_091820_P19,36.03,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_16_092020_P9,36.06,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_16,264
Apiary_27_092820_P8,36.09,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_21_091020_P12,36.19,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_21,254
Apiary_2_091920_P5,36.19,none,0,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_16_091020_P6,36.21,none,0,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_16,254
