Sample_ID,Apiary_ID,DWV_Cq,DWV_presence
Apiary_8_091320_F10,Apiary_8,23.41456715,1
Apiary_11_092120_F2,Apiary_11,25.17774101,1
Apiary_16_091020_F13,Apiary_16,25.72964383,1
Apiary_15_091620_F8,Apiary_15,26.76979432,1
Apiary_3_092420_F3,Apiary_3,27.55015567,1
Apiary_21_091020_F6,Apiary_21,28.12400185,1
Apiary_6_091020_F10,Apiary_6,28.2681763,1
Apiary_16_091020_F15,Apiary_16,28.67513765,1
Apiary_7_091720_F13,Apiary_7,29.38687996,1
Apiary_7_091720_F7,Apiary_7,29.40832085,1
Apiary_4_091420_F13,Apiary_4,29.44915482,1
Apiary_13_090920_F15,Apiary_13,29.47778531,1
Apiary_4_091420_F2,Apiary_4,29.79283326,1
Apiary_11_092120_F13,Apiary_11,30.12294,1
Apiary_8_091320_F2,Apiary_8,30.20572332,1
Apiary_11_092120_F15,Apiary_11,30.28388469,1
Apiary_16_091020_F2,Apiary_16,30.49461125,1
Apiary_7_091720_F8,Apiary_7,30.58492325,1
Apiary_3_091520_F1,Apiary_3,30.62759226,1
Apiary_21_092020_F10,Apiary_21,31.06859012,1
Apiary_7_091720_F16,Apiary_7,31.0753146,1
Apiary_16_091020_F14,Apiary_16,31.08371569,1
Apiary_27_100120_F7,Apiary_27,31.23629477,1
Apiary_13_090920_F9,Apiary_13,31.4462128,1
Apiary_3_092420_F2,Apiary_3,31.48410962,1
Apiary_13_092320_F14,Apiary_13,31.64177113,1
Apiary_6_091020_F2,Apiary_6,31.65861306,1
Apiary_11_092120_F14,Apiary_11,31.70720421,1
Apiary_6_092020_F2,Apiary_6,31.72147053,1
Apiary_27_100120_F9,Apiary_27,31.93376378,1
Apiary_4_091420_F3,Apiary_4,32.0544531,1
Apiary_3_092420_F4,Apiary_3,32.12895741,1
Apiary_13_092320_F10,Apiary_13,32.14190394,1
Apiary_10_091220_F3,Apiary_10,32.20784138,1
Apiary_16_092020_F3,Apiary_16,32.23306152,1
Apiary_21_092020_F3,Apiary_21,32.2486798,1
Apiary_4_091420_F15,Apiary_4,32.27484811,1
Apiary_6_091020_F7,Apiary_6,32.27767482,1
Apiary_6_091020_F3,Apiary_6,32.28957776,1
Apiary_3_091520_F2,Apiary_3,32.2900644,1
Apiary_10_091220_F1,Apiary_10,32.35533661,1
