Sample_ID,Apiary_ID,Sampling_Date,Julian_Day,Quadrat #,# of HB Visits,Distance to colonies (m),Virus_Screening
Apiary_1_091520_F1,Apiary_1,9/15/2020,259,1,3,40,No
Apiary_1_091520_F10,Apiary_1,9/15/2020,259,4,NA,60,No
Apiary_1_091520_F11,Apiary_1,9/15/2020,259,4,NA,60,No
Apiary_1_091520_F12,Apiary_1,9/15/2020,259,4,NA,60,No
Apiary_1_091520_F13,Apiary_1,9/15/2020,259,5,5,85,No
Apiary_1_091520_F14,Apiary_1,9/15/2020,259,5,5,85,No
Apiary_1_091520_F15,Apiary_1,9/15/2020,259,5,5,85,No
Apiary_1_091520_F2,Apiary_1,9/15/2020,259,1,3,40,No
Apiary_1_091520_F3,Apiary_1,9/15/2020,259,1,3,40,No
Apiary_1_091520_F4,Apiary_1,9/15/2020,259,2,3,82,No
Apiary_1_091520_F5,Apiary_1,9/15/2020,259,2,3,82,No
Apiary_1_091520_F6,Apiary_1,9/15/2020,259,2,3,82,No
Apiary_1_091520_F7,Apiary_1,9/15/2020,259,3,NA,80,No
Apiary_1_091520_F8,Apiary_1,9/15/2020,259,3,NA,80,No
Apiary_1_091520_F9,Apiary_1,9/15/2020,259,3,NA,80,No
Apiary_2_091920_F1,Apiary_2,9/19/2020,263,1,9,30,No
Apiary_2_091920_F10,Apiary_2,9/19/2020,263,4,NA,210,No
Apiary_2_091920_F11,Apiary_2,9/19/2020,263,4,NA,210,No
Apiary_2_091920_F12,Apiary_2,9/19/2020,263,4,NA,210,No
Apiary_2_091920_F13,Apiary_2,9/19/2020,263,5,NA,240,No
Apiary_2_091920_F14,Apiary_2,9/19/2020,263,5,NA,240,No
Apiary_2_091920_F15,Apiary_2,9/19/2020,263,5,NA,240,No
Apiary_2_091920_F2,Apiary_2,9/19/2020,263,1,9,30,No
Apiary_2_091920_F3,Apiary_2,9/19/2020,263,1,9,30,No
Apiary_2_091920_F4,Apiary_2,9/19/2020,263,2,13,82,No
Apiary_2_091920_F5,Apiary_2,9/19/2020,263,2,13,82,No
Apiary_2_091920_F6,Apiary_2,9/19/2020,263,2,13,82,No
Apiary_2_091920_F7,Apiary_2,9/19/2020,263,3,17,180,No
Apiary_2_091920_F8,Apiary_2,9/19/2020,263,3,17,180,No
Apiary_2_091920_F9,Apiary_2,9/19/2020,263,3,17,180,No
Apiary_3_091520_F1,Apiary_3,9/15/2020,259,1,21,24,Yes
Apiary_3_091520_F10,Apiary_3,9/15/2020,259,5,NA,15,Yes
Apiary_3_091520_F11,Apiary_3,9/15/2020,259,5,NA,15,No
Apiary_3_091520_F12,Apiary_3,9/15/2020,259,5,NA,15,No
Apiary_3_091520_F13,Apiary_3,9/15/2020,259,4,NA,63,No
Apiary_3_091520_F14,Apiary_3,9/15/2020,259,4,NA,63,No
Apiary_3_091520_F15,Apiary_3,9/15/2020,259,4,NA,63,No
Apiary_3_091520_F2,Apiary_3,9/15/2020,259,1,21,24,Yes
Apiary_3_091520_F3,Apiary_3,9/15/2020,259,1,21,24,Yes
Apiary_3_091520_F4,Apiary_3,9/15/2020,259,2,33,45,Yes
Apiary_3_091520_F5,Apiary_3,9/15/2020,259,2,33,45,Yes
Apiary_3_091520_F6,Apiary_3,9/15/2020,259,2,33,45,Yes
Apiary_3_091520_F7,Apiary_3,9/15/2020,259,3,20,43,Yes
Apiary_3_091520_F8,Apiary_3,9/15/2020,259,3,20,43,Yes
Apiary_3_091520_F9,Apiary_3,9/15/2020,259,3,20,43,Yes
Apiary_3_092420_F1,Apiary_3,9/24/2020,268,1,21,30,Yes
Apiary_3_092420_F10,Apiary_3,9/24/2020,268,4,27,145,Yes
Apiary_3_092420_F11,Apiary_3,9/24/2020,268,4,27,145,No
Apiary_3_092420_F12,Apiary_3,9/24/2020,268,4,27,145,No
Apiary_3_092420_F13,Apiary_3,9/24/2020,268,5,NA,120,No
Apiary_3_092420_F14,Apiary_3,9/24/2020,268,5,NA,120,No
Apiary_3_092420_F15,Apiary_3,9/24/2020,268,5,NA,120,No
Apiary_3_092420_F2,Apiary_3,9/24/2020,268,1,21,30,Yes
Apiary_3_092420_F3,Apiary_3,9/24/2020,268,1,21,30,Yes
Apiary_3_092420_F4,Apiary_3,9/24/2020,268,2,36,90,Yes
Apiary_3_092420_F5,Apiary_3,9/24/2020,268,2,36,90,Yes
Apiary_3_092420_F6,Apiary_3,9/24/2020,268,2,36,90,Yes
Apiary_3_092420_F7,Apiary_3,9/24/2020,268,3,NA,25,Yes
Apiary_3_092420_F8,Apiary_3,9/24/2020,268,3,NA,25,Yes
Apiary_3_092420_F9,Apiary_3,9/24/2020,268,3,NA,25,Yes
Apiary_5_091420_F1,Apiary_5,9/14/2020,258,1,4,93,No
Apiary_5_091420_F10,Apiary_5,9/14/2020,258,4,7,184,No
Apiary_5_091420_F11,Apiary_5,9/14/2020,258,4,7,184,No
Apiary_5_091420_F12,Apiary_5,9/14/2020,258,4,7,184,No
Apiary_5_091420_F13,Apiary_5,9/14/2020,258,5,8,195,No
Apiary_5_091420_F14,Apiary_5,9/14/2020,258,5,8,195,No
Apiary_5_091420_F15,Apiary_5,9/14/2020,258,5,8,195,No
Apiary_5_091420_F16,Apiary_5,9/14/2020,258,6,NA,185,No
Apiary_5_091420_F17,Apiary_5,9/14/2020,258,6,NA,185,No
Apiary_5_091420_F18,Apiary_5,9/14/2020,258,6,NA,185,No
Apiary_5_091420_F19,Apiary_5,9/14/2020,258,7,NA,182,No
Apiary_5_091420_F2,Apiary_5,9/14/2020,258,1,4,93,No
Apiary_5_091420_F20,Apiary_5,9/14/2020,258,7,NA,182,No
Apiary_5_091420_F21,Apiary_5,9/14/2020,258,7,NA,182,No
Apiary_5_091420_F22,Apiary_5,9/14/2020,258,8,NA,190,No
Apiary_5_091420_F23,Apiary_5,9/14/2020,258,8,NA,190,No
Apiary_5_091420_F24,Apiary_5,9/14/2020,258,8,NA,190,No
Apiary_5_091420_F25,Apiary_5,9/14/2020,258,9,NA,186,No
Apiary_5_091420_F26,Apiary_5,9/14/2020,258,9,NA,186,No
Apiary_5_091420_F27,Apiary_5,9/14/2020,258,9,NA,186,No
Apiary_5_091420_F28,Apiary_5,9/14/2020,258,10,NA,192,No
Apiary_5_091420_F29,Apiary_5,9/14/2020,258,10,NA,192,No
Apiary_5_091420_F3,Apiary_5,9/14/2020,258,1,4,93,No
Apiary_5_091420_F30,Apiary_5,9/14/2020,258,10,NA,192,No
Apiary_5_091420_F4,Apiary_5,9/14/2020,258,2,7,150,No
Apiary_5_091420_F5,Apiary_5,9/14/2020,258,2,7,150,No
Apiary_5_091420_F6,Apiary_5,9/14/2020,258,2,7,150,No
Apiary_5_091420_F7,Apiary_5,9/14/2020,258,3,4,170,No
Apiary_5_091420_F8,Apiary_5,9/14/2020,258,3,4,170,No
Apiary_5_091420_F9,Apiary_5,9/14/2020,258,3,4,170,No
